Holders Tech. ,HDT,	121.50	12,847	4.74%	116.00	121.50	9
Helium One. ,HE1,	9.10	36,735,344	28.17%	7.65	9.10	1,200
Harvest Mi ,Di, ,HMI,	5.75	639,999	-2.54%	5.50	5.75	23
Hotel Choc ,HOTC,	508.00	26,236	0.20%	508.00	508.00	45
Hornby ,HRN,	54.00	57,591	-1.82%	52.50	54.00	25
Hargreaves Serv ,HSP,	408.00	21,595	2.32%	406.00	408.00	16
Hss Hire ,HSS,	16.70	113,794,468	4.38%	15.20	17.50	277
Hummingbird ,HUM,	13.95	115,285	0.00%	13.95	13.95	10
Hurricane Energ ,HUR,	3.948	3,478,048	1.95%	3.868	3.948	65
Helios Underw ,HUW,	177.50	5,000	0.00%	177.50	177.50	1
Horizonte Min. ,HZM,	6.525	13,134,570	1.95%	6.30	6.55	68
I3 Energy ,I3E,	13.20	2,143,997	-0.38%	12.95	13.25	92
Ienergizer ,IBPO,	326.00	29,430	0.62%	326.00	326.00	21
Ide Hldgs ,IDE,	1.25	131,337	0.00%	1.25	1.25	6
Ideagen ,IDEA,	253.00	166,552	-3.07%	250.00	253.00	52
Idox Group ,IDOX,	67.40	131,824	-0.88%	67.40	70.80	34
Invinity Energy ,IES,	93.00	48,909	-0.53%	93.00	93.00	12
Igas Energy ,IGAS,	13.70	421,572	-3.20%	13.50	13.80	19
Image Scan Holdings ,IGE,	3.00	32,198	-3.23%	3.00	3.10	5
Intercede ,IGP,	75.00	11,850	-1.32%	75.00	76.00	4
Design Group ,IGR,	264.00	48,840	-0.38%	264.00	265.00	30
Inspiration Hlt ,IHC,	118.00	60,110	0.00%	118.00	118.00	6
Infra.india ,IIP,	0.80	121,149	18.52%	0.60	0.80	3
Ilika Plc ,IKA,	170.50	112,057	-3.13%	170.50	180.00	55
Immedia Group ,IME,	16.25	0	0.00%	16.25	16.25	0
Immupharma ,IMM,	7.02	104,209	-9.38%	7.02	7.02	5
Immotion Group. ,IMMO,	6.80	447,043	0.00%	6.80	6.80	12
Ince Group ,INCE,	39.00	120,633	1.30%	38.50	39.00	15
Ingenta ,ING,	83.50	9	0.00%	83.50	83.50	2
Induction Heal. ,INHC,	58.50	5,102	0.00%	58.50	58.50	2
Inland ,INL,	55.00	148,608	0.00%	54.50	55.00	19
Instem ,INS,	885.00	8,738	-0.56%	885.00	890.00	13
Inspired ,INSE,	19.50	343,283	3.45%	18.20	19.50	10
Insig Ai Plc ,INSG,	42.50	111,868	-2.30%	41.50	43.50	17
Inspirit Energy ,INSP,	0.043	1,709,964	0.00%	0.043	0.043	5
I-nexus Global. ,INX,	5.50	0	0.00%	5.50	5.50	0
Iofina ,IOF,	18.80	915,968	0.94%	18.80	18.80	38
Iog ,IOG,	36.50	332,949	-1.08%	37.00	37.00	30
Iomart ,IOM,	172.60	79,601	2.37%	168.60	172.60	127
Impellam ,IPEL,	517.50	1,928	0.00%	517.50	517.50	2
Impax Asset Man ,IPX,	1,230.00	390,440	-2.23%	1,216.00	1,262.00	584
IQE ,IQE,	33.30	1,978,852	-1.91%	32.90	34.40	340
Iqgeo ,IQG,	131.00	13,311	0.00%	131.00	131.00	4
Ironveld ,IRON,	0.855	2,242,511	1.18%	0.845	0.855	16
Itim Grou ,ITIM,	109.00	192	2.83%	109.00	109.00	2
Itm Power ,ITM,	356.60	1,141,076	-0.50%	352.60	363.20	1,601
In The Style G. ,ITS,	93.50	11,931	0.00%	93.50	93.50	3
Itaconix Plc ,ITX,	5.55	373,458	0.00%	5.55	5.55	12
Intelligent Ult ,IUG,	14.85	145,576	1.71%	14.60	15.25	14
Ixico ,IXI,	60.00	51,727	0.00%	59.00	60.00	9
Jangada Mines ,JAN,	6.30	486,495	-0.79%	6.30	6.55	14
Bluejay Min ,JAY,	8.79	4,353,253	-1.24%	8.47	9.13	100
Judges Scientfc ,JDG,	8,560.00	8,434	0.12%	8,560.00	8,560.00	39
Jet2 Plc ,JET2,	1,273.00	760,234	1.92%	1,224.00	1,273.50	1,597
